Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
Nhân viên thu ngân,['Hà Nội'],07/12/2024,"Kế toán / Kiểm toán , Mới tốt nghiệp / Thực tập , Giải trí",Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,31/12/2024,CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN VÀ ĐẦU TƯ Y TẾ QUỐC TẾ,"Số 126 -128 Bùi Thị Xuân, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",P.HCNS,Trách nhiệm hữu hạn,500-999
Kế toán quản trị nội bộ,['Hà Nội'],07/12/2024,"Quản lý điều hành , Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,28/12/2024,CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN VÀ ĐẦU TƯ Y TẾ QUỐC TẾ,"Số 126 -128 Bùi Thị Xuân, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",P.HCNS,Trách nhiệm hữu hạn,500-999
Bác sĩ nha khoa,['Hà Nội'],07/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe , Hóa học",Nhân viên chính thức,20 Tr - 40 Tr VND,Trên 2 Năm,Nhân viên,28/12/2024,CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN VÀ ĐẦU TƯ Y TẾ QUỐC TẾ,"Số 126 -128 Bùi Thị Xuân, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",P.HCNS,Trách nhiệm hữu hạn,500-999
Điều dưỡng nha khoa,['Hà Nội'],07/12/2024,"Y tế / Chăm sóc sức khỏe , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,10 Tr - 20 Tr VND,Trên 1 Năm,Nhân viên,28/12/2024,CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN VÀ ĐẦU TƯ Y TẾ QUỐC TẾ,"Số 126 -128 Bùi Thị Xuân, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",P.HCNS,Trách nhiệm hữu hạn,500-999
Trợ lý Phó chủ tịch HĐQT,['Hà Nội'],07/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,12 Tr - 20 Tr VND,2 - 3 Năm,Nhân viên,05/01/2025,CÔNG TY CỔ PHẦN Z HOLDING,"B1 - R4 Royal City, Số 72A Nguyễn Trãi, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Ms Liên,Cổ phần,1.000-4.999
Purchasing Team Leader,['Bình Dương'],07/12/2024,"Đồ gỗ , Thu mua / Vật tư , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Trưởng nhóm / Giám sát,31/01/2025,VIETNAM FURNITURE RESOURCES (VFR),"47/4 DT743, Binh Chuan Ward, Thuan An Dist.,",Ms. Hương,100% vốn nước ngoài,1.000-4.999
Kế toán tổng hợp - thuế [Thành thạo tiếng Trung],['Hà Nội'],07/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,18 Tr - 20 Tr VND,3 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH PHÁT TRIỂN DELI VIỆT NAM,"Tầng 4, số 189 đường Nghi Tàm, Phường Yên Phụ, Quận Tây Hồ",Tuyển Dụng Deli Việt Nam,Liên doanh,100-499
Nhân viên thị trường,['Hà Nội'],07/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 10 Năm,Nhân viên,31/01/2025,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU ÚC ĐẠI LỢI,"Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm, TP Hà Nội",Thanh Vân,Trách nhiệm hữu hạn,25-99
Nhân viên thu hồi nợ qua điện thoại - TA140,['Hà Nội'],07/12/2024,"Luật / Pháp lý , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/03/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
WAREHOUSE ADMIN/ ADMIN KHO,['Đồng Nai'],07/12/2024,"Sản xuất / Vận hành sản xuất , Hành chính / Thư ký , Vận chuyển / Giao nhận / Kho vận",Nhân viên chính thức,"Lên đến 8,7 Tr VND",,Mới tốt nghiệp,07/01/2025,CÔNG TY CỔ PHẦN GREEN SPEED,"17 đường Đào Duy Từ, Khu phố Đông A, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ms Thương,,500-999
Quản đốc chất lượng khâu hàng trắng/ thầu phụ,['Bình Dương'],07/12/2024,"Đồ gỗ , Quản lý chất lượng (QA/QC) , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Trưởng nhóm / Giám sát,11/01/2025,VIETNAM FURNITURE RESOURCES (VFR),"47/4 DT743, Binh Chuan Ward, Thuan An Dist.,",Ms. Hương,100% vốn nước ngoài,1.000-4.999
Chuyên Viên Hành Chính Nhân Sự Tổng Hợp (Hospitality),['Bình Thuận'],07/12/2024,"Nhà hàng / Khách sạn , Hành chính / Thư ký , Nhân sự",Nhân viên chính thức,10 Tr - 12 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY CỔ PHẦN SATIS GROUP,"43 Tạ Hiện, P. Thạnh Mỹ Lợi, Tp.Thủ Đức, Tp.HCM",Chị Châu,Cổ phần,25-99
Employer Branding,['Hà Nội'],07/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,15 Tr - 18 Tr VND,1 - 3 Năm,Nhân viên,01/01/2025,CÔNG TY CỔ PHẦN Z HOLDING,"B1 - R4 Royal City, Số 72A Nguyễn Trãi, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Ms Liên,Cổ phần,1.000-4.999
Nhân viên công cộng,['Bà Rịa - Vũng Tàu'],07/12/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,07/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN VIETPEARL,"Số 191A đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR,Cổ phần,25-99
Nhân viên giặt là,['Bà Rịa - Vũng Tàu'],07/12/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN VIETPEARL,"Số 191A đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR,Cổ phần,25-99
Nhân viên buồng phòng,['Bà Rịa - Vũng Tàu'],07/12/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,Trên 5 Tr VND,Trên 1 Năm,Nhân viên,07/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN VIETPEARL,"Số 191A đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR,Cổ phần,25-99
Leader Team Sáng Tạo (Media/Thiết Kế),['Hà Nội'],07/12/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,15 Tr - 20 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,07/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM STARMED,"Văn Quán, Hà Đông",Ms. Bich,Cổ phần,100-499
Nhân Viên Sale Chat (Ngành Hàng Mẹ&Bé),['Hà Nội'],07/12/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ",Nhân viên chính thức,20 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,25/12/2024,CÔNG TY CP THƯƠNG MẠI XNK CTCT GROUP,"Tầng 3, Sảnh A, Tòa Nhà Tây Hà, 19 Tố Hữu, Nam Từ Liêm, Hà Nội",Ms.Lương,Cổ phần,25-99
Chuyên Viên Truyền Thông Thương Hiệu,['Hà Nội'],07/12/2024,Quảng cáo / Đối ngoại / Truyền Thông,Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,06/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM STARMED,"Văn Quán, Hà Đông",Ms. Bich,Cổ phần,100-499
Nhân Viên Sale Online & Trực Page (B2C),['Hà Nội'],07/12/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ",Nhân viên chính thức,15 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,26/12/2024,CÔNG TY CP THƯƠNG MẠI XNK CTCT GROUP,"Tầng 3, Sảnh A, Tòa Nhà Tây Hà, 19 Tố Hữu, Nam Từ Liêm, Hà Nội",Ms.Lương,Cổ phần,25-99
25 NHÂN VIÊN KINH DOANH ĐI LÀM NGAY! - NGHỆ AN,"['Nghệ An', 'Hải Phòng', 'Quảng Ninh']",07/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,Trên 1 Năm,Nhân viên,22/12/2024,CÔNG TY CỔ PHẦN VẮC XIN VÀ SINH PHẨM NAM HƯNG VIỆT,"K7TT1-SH19, Khu đô thị Starlake, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",Ms. Phượng - adminwinbio@naviva.com.vn,Cổ phần,25-99
25 NHÂN VIÊN KINH DOANH ĐI LÀM NGAY! - QUẢNG NINH,"['Nghệ An', 'Hải Phòng', 'Quảng Ninh']",07/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,Trên 1 Năm,Nhân viên,22/12/2024,CÔNG TY CỔ PHẦN VẮC XIN VÀ SINH PHẨM NAM HƯNG VIỆT,"K7TT1-SH19, Khu đô thị Starlake, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",Ms. Phượng - adminwinbio@naviva.com.vn,Cổ phần,25-99
25 NHÂN VIÊN KINH DOANH ĐI LÀM NGAY! - HẢI PHÒNG,"['Nghệ An', 'Hải Phòng', 'Quảng Ninh']",07/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 25 Tr VND,Trên 1 Năm,Nhân viên,22/12/2024,CÔNG TY CỔ PHẦN VẮC XIN VÀ SINH PHẨM NAM HƯNG VIỆT,"K7TT1-SH19, Khu đô thị Starlake, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",Ms. Phượng - adminwinbio@naviva.com.vn,Cổ phần,25-99
KẾ TOÁN TRƯỞNG NHẬN VIỆC NGAY,['Hà Nội'],07/12/2024,"Kế toán / Kiểm toán , Y tế / Chăm sóc sức khỏe , Dược phẩm",Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 2 Năm,Trưởng nhóm / Giám sát,13/12/2024,CÔNG TY CỔ PHẦN VẮC XIN VÀ SINH PHẨM NAM HƯNG VIỆT,"K7TT1-SH19, Khu đô thị Starlake, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",Ms. Phượng - adminwinbio@naviva.com.vn,Cổ phần,25-99
KẾ TOÁN THU MUA BIẾT TIẾNG TRUNG,['Bình Phước'],07/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,01/04/2025,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI SAO VIỆT SÀI GÒN,"685 Âu Cơ, Phường Tân Thành, Quận Tân Phú",HR-Tuyển dụng,Trách nhiệm hữu hạn,25-99
CQA Engineer - Đồng Nai (Dầu Giây),['Đồng Nai'],07/12/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,Cạnh tranh,3 - 7 Năm,Nhân viên,07/01/2025,TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED,"Cần đổi thành 9A VSIP II-A Street 27, Vietnam - Singapore Industrial Park II-A, Vinh Tan Ward, Tan Uyen City, Binh Duong Province, Vietnam",HR Dept.,100% vốn nước ngoài,10.000-19.999
"Nhân viên kinh doanh phụ tùng ô tô (Chương Mỹ, Hà Nội)",['Hà Nội'],07/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,8 Tr - 30 Tr VND,,Nhân viên,30/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN MÁY VIỆT NAM,"KĐT An Hưng, Dương Nội, Hà Đông",HR VIMID,Cổ phần,500-999
Nhân Viên Cơ Sở Vật Chất,['Thừa Thiên- Huế'],07/12/2024,"An Ninh / Bảo Vệ , Bảo trì / Sửa chữa",Nhân viên chính thức,7 Tr - 9 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,EQUEST EDUCATION GROUP (EQG),"Canadian International School, Number 7, Road 23, Phu My Hung, Tan Phu Ward, District 7, HCMC",People & Culture Division - Talent Acquisition Department,Cổ phần,5.000-9.999
"Nhân Viên Livestream Sàn Thương Mại Điện Tử Tiktok, Shopee",['Hà Nội'],07/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,07/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM STARMED,"Văn Quán, Hà Đông",Ms. Bich,Cổ phần,100-499
Kế toán tổng hợp,['Đồng Nai'],07/12/2024,"Kế toán / Kiểm toán , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,11 Tr - 13 Tr VND,5 - 25 Năm,Nhân viên,31/01/2025,CÔNG TY CP TM DV AN SƯƠNG,"2450, QL1A, P.Trung Mỹ Tây, Q12",P. TCHC,Cổ phần,100-499
Nhân viên Kế toán Tổng hợp,['Hà Nội'],07/12/2024,"Kế toán / Kiểm toán , Ngân hàng",Nhân viên chính thức,15 Tr - 20 Tr VND,3 - 5 Năm,Nhân viên,05/01/2025,CÔNG TY TNHH DƯỢC HUNMED,"Số 130, ngõ 32, tổ 6, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",BP. Tuyển Dụng,Trách nhiệm hữu hạn,
Trưởng Phòng Sale Online Sàn Thương Mại Điện Tử,['Hà Nội'],07/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,15 Tr - 30 Tr VND,1 - 2 Năm,Quản lý,31/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM STARMED,"Văn Quán, Hà Đông",Ms. Bich,Cổ phần,100-499
"Chuyên Viên Phát Triển Kinh Doanh - Giải Pháp Phần Mềm Y Tế (HIS, RIS, PACS, EMR, ERP,...)",['Hà Nội'],07/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,07/12/2024,CÔNG TY TNHH Y TẾ VIỆT TIẾN,"Số 35-37, đường số 65, phường Tân Phong, Quận 7",Võ Nhật Trường,Trách nhiệm hữu hạn,100-499
Purchasing Specialist (15-25 million VND/month),"['Hà Nội', 'Hưng Yên']",07/12/2024,"Xuất nhập khẩu , Thu mua / Vật tư , Khoáng sản",Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 3 Năm,Nhân viên,08/01/2025,"ADC PLASTIC,. JSC",Số 14-15 A18 BTSL Đường Lê Trọng Tấn - An Khánh - Hoài Đức - Hà Nội,Phòng Nhân sự,Cổ phần,100-499
Nhân viên QC/QS,['Hà Nội'],07/12/2024,Xây dựng,Nhân viên chính thức,14 Tr - 20 Tr VND,1 - 5 Năm,Nhân viên,07/01/2025,CÔNG TY TNHH KỸ THUẬT XÂY DỰNG E- POWER,"Tầng 12, khối B, Tòa nhà Sông Đà, Đường Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Lan Hương ( P HCNS),Trách nhiệm hữu hạn,100-499
Odoo Developer,['Hà Nội'],07/12/2024,CNTT - Phần mềm,Nhân viên chính thức,20 Tr - 35 Tr VND,3 - 4 Năm,Nhân viên,07/01/2025,CÔNG TY CỔ PHẦN Z HOLDING,"B1 - R4 Royal City, Số 72A Nguyễn Trãi, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Ms Liên,Cổ phần,1.000-4.999
"[Bến Lức, Long An] - Nhân viên Bảo vệ",['Long An'],07/12/2024,"Lao động phổ thông , An Ninh / Bảo Vệ",Nhân viên chính thức,"7,5 Tr - 8 Tr VND",1 - 2 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,"Lô C40-43/I, C51-55/II Đường Số 7, Khu công nghiệp Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",Kim Liên,Cổ phần,1.000-4.999
KẾ TOÁN NỘI BỘ,['Hải Phòng'],07/12/2024,"Kế toán / Kiểm toán , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 2 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
Giám sát thi công (KV Hà Nội),['Hà Nội'],07/12/2024,Xây dựng,Nhân viên chính thức,14 Tr - 20 Tr VND,1 - 15 Năm,Nhân viên,07/01/2025,CÔNG TY TNHH KỸ THUẬT XÂY DỰNG E- POWER,"Tầng 12, khối B, Tòa nhà Sông Đà, Đường Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Lan Hương ( P HCNS),Trách nhiệm hữu hạn,100-499
Import Export Manager,['Hà Nội'],07/12/2024,"Xuất nhập khẩu , Dệt may / Da giày / Thời trang",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Quản lý,08/01/2025,THỜI TRANG LINING_CÔNG TY TNHH QUỐC TẾ HẢI LONG,"Tầng 2, Tòa Handiresco, số 31 Lê Văn Lương, P.Nhân Chính, Q.Thanh Xuân, Thành phố Hà Nội, Việt Nam",Bộ phận Tuyển dụng,Cổ phần,1.000-4.999
Senior Commercial (Xuất Nhập Khẩu),['Dak Lak'],07/12/2024,"Xuất nhập khẩu , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY TNHH CÀ PHÊ NGON,"Cụm Công Nghiệp Cư Kuin, Huyện Cư Kuin",Trần Thị Bản,100% vốn nước ngoài,500-999
Ecommerce Manager (Cạnh tranh thu nhập),['Hà Nội'],07/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Quản lý,08/01/2025,THỜI TRANG LINING_CÔNG TY TNHH QUỐC TẾ HẢI LONG,"Tầng 2, Tòa Handiresco, số 31 Lê Văn Lương, P.Nhân Chính, Q.Thanh Xuân, Thành phố Hà Nội, Việt Nam",Bộ phận Tuyển dụng,Cổ phần,1.000-4.999
Nhân viên pha chế hóa mỹ phẩm,['Đồng Nai'],07/12/2024,"Dược phẩm , Hóa học",Nhân viên chính thức,"8 Tr - 9,5 Tr VND",,Nhân viên,28/02/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN Y DƯỢC EBC,"106 Bát Nàn, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Phòng Tuyển dụng,Cổ phần,100-499
[A9] Tuyển Dụng Nhân Viên Chăm Sóc Khách Hàng Đối Tác Truyền Hình VTV CAB Làm Việc Tại 23 Lạc Trung Hà Nội (Fulltime hoặc Part time),['Hà Nội'],07/12/2024,"Bán lẻ / Bán sỉ , Dịch vụ khách hàng , Dầu khí",Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,27/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
MARKETING MANAGER (Up net 3500S),['Hà Nội'],07/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,"Lên đến 3,500 USD",Trên 5 Năm,Quản lý,07/01/2025,THỜI TRANG LINING_CÔNG TY TNHH QUỐC TẾ HẢI LONG,"Tầng 2, Tòa Handiresco, số 31 Lê Văn Lương, P.Nhân Chính, Q.Thanh Xuân, Thành phố Hà Nội, Việt Nam",Bộ phận Tuyển dụng,Cổ phần,1.000-4.999
Chuyên Viên Khách Hàng Doanh Nghiệp Vừa Và Nhỏ - Hưng Yên - TA117,['Hưng Yên'],07/12/2024,"Bán hàng / Kinh doanh , Bảo hiểm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Trưởng nhóm / Giám sát,17/01/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Trưởng Phòng R&D Ngành Dược,['Hà Nội'],07/12/2024,"Sản xuất / Vận hành sản xuất , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,20 Tr - 35 Tr VND,2 - 5 Năm,Quản lý,31/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN DƯỢC PHẨM STARMED,"Văn Quán, Hà Đông",Ms. Bich,Cổ phần,100-499
Nhân viên kế toán bán hàng,['Bắc Giang'],07/12/2024,"Bán hàng / Kinh doanh , Kế toán / Kiểm toán",Nhân viên chính thức,10 Tr - 11 Tr VND,2 - 3 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,"Số 36 đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HR THQ,Trách nhiệm hữu hạn,1.000-4.999
Kỹ Sư QS,"['Thanh Hóa', 'Hà Nam', 'Hà Nội']",07/12/2024,"Quản lý chất lượng (QA/QC) , Xây dựng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG TS,"Số 07 Đường Mai Hắc Đế, phường Đông Hương, TP. Thanh Hoá",Phòng Nhân sự,Cổ phần,25-99
Kế toán bán hàng - Cần Thơ,['Cần Thơ'],06/12/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,7 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,15/01/2025,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Chuyên viên Quản sinh,['Đồng Nai'],06/12/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN GIÁO DỤC THÀNH THÀNH CÔNG (IGC GROUP),"08 Phan Đình Giót, P.2, Quận Tân Bình, Tp. Hồ Chí Minh",HR Dept,Cổ phần,1.000-4.999
ASM kênh GT (mỹ phẩm),['Hà Nội'],07/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,20 Tr - 40 Tr VND,2 - 3 Năm,Quản lý,31/12/2024,CÔNG TY TNHH THIÊN THỦY MỘC,"Tòa nhà VMT, ngõ 82 Duy Tân, Cầu Giấy, Hà Nội",Công ty TNHH TM Thiên Thủy Mộc,Cổ phần,100-499
[PKĐK ĐH PHENIKAA HOÀNG NGÂN] NHÂN VIÊN KẾ HOẠCH TỔNG HỢP,['Hà Nội'],06/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,12 Tr - 17 Tr VND,1 - 3 Năm,Nhân viên,31/12/2024,,,,,
"[KCN Thăng Long 1, Hà Nội] Kỹ Sư Đánh Giá Sản Phẩm (12Tr-16Tr) (25256)",['Hà Nội'],06/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,12 Tr - 16 Tr VND,1 - 5 Năm,Nhân viên,06/01/2025,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
"[KCN Đình Vũ, Hải Phòng] Kỹ Sư Giám Sát Xây Dựng (10Tr-13Tr) (25242)",['Hải Phòng'],06/12/2024,"Cơ khí / Ô tô / Tự động hóa , Kiến trúc , Xây dựng",Nhân viên chính thức,10 Tr - 13 Tr VND,2 - 5 Năm,Nhân viên,06/01/2025,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
Chuyên viên Quản trị ngành hàng (Ra tết đi làm),['Hà Nội'],06/12/2024,"Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống , Dệt may / Da giày / Thời trang",Nhân viên chính thức,12 Tr - 20 Tr VND,2 - 5 Năm,Nhân viên,31/01/2025,CÔNG TY CỔ PHẦN CANIFA,"P301 Tầng 3 tòa nhà GP Invest 170 La Thành, Đống Đa, Hà Nội",Phòng tuyển dụng,Cổ phần,500-999
Trưởng phòng Kinh doanh - Cần Thơ,['Cần Thơ'],06/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,20 Tr - 40 Tr VND,2 - 3 Năm,Quản lý,15/01/2025,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Quản lý cửa hàng TokyoLife Hưng Yên,['Hưng Yên'],06/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dệt may / Da giày / Thời trang",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Quản lý,08/01/2025,CÔNG TY CỔ PHẦN INTELLIFE,"Tháp B, tòa Fafim, số 19 Nguyễn Trãi, Thanh Xuân, HN",BP Tuyển dụng,Cá nhân,1.000-4.999
