Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
[G5] BSV - Nhân Viên Tư Vấn Dịch Vụ Viettel - Giờ Hành Chính,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,12/12/2024
"[G7]_[BSV]_[Tân Bình, HCM] Nhân Viên CSKH Viettel Telecom Line 198",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,12/12/2024
"[G7] _ [BSV] _ Nhân viên Tư vấn Dịch vụ Viettel _ Quận Tân Bình, Quận 3 _ Giờ Hành Chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,13/11/2024,"Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,12/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,14/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,13/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,14/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,13/12/2024
[G6] _ [BSV] _NHÂN VIÊN VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,29/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,28/12/2024
[G6] _ [BSV] _NHÂN VIÊN VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,29/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,28/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,30/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,29/12/2024
[G6] _ [BSV] _NHÂN VIÊN THỜI VỤ VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,30/11/2024,"Bưu chính viễn thông , Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,29/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,30/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,29/12/2024
[G6] _ [BSV] _NHÂN VIÊN THỜI VỤ VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,01/12/2024,"Bưu chính viễn thông , Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/12/2024
[G6] _ [BSV] _NHÂN VIÊN THỜI VỤ VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,01/12/2024,"Bưu chính viễn thông , Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,01/12/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,01/12/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,30/12/2024
Nhân Viên Phát Triển Thị Trường Khu Vực Tân Phú,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,01/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,30/12/2024
Nhân Viên Phát Triển Thị Trường Khu Vực Tân Bình,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,01/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,30/12/2024
[G6] _ [BSV] _NHÂN VIÊN VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,23/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,22/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,23/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,22/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,24/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,23/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,24/11/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,23/12/2024
LEISURE CONSULTANT - JAPANESE SPEAKING MARKETS,[],,,,,,,,,,,,
[G6] _ [BSV] _NHÂN VIÊN VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,24/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,23/12/2024
[G6] _ [BSV] _NHÂN VIÊN THỜI VỤ VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,24/11/2024,"Bưu chính viễn thông , Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,23/12/2024
Nhân viên Kinh doanh B2B (Tiếng Trung Quốc),['Hồ Chí Minh'],TẬP ĐOÀN KIM TÍN,"69 Nguyễn Thi, Phường 13, Quận 5, HCM",KIM TIN GROUP,1.000-4.999,Cổ phần,24/11/2024,"Bán hàng / Kinh doanh , Nội ngoại thất , Đồ gỗ",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,23/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,24/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,23/12/2024
TRÌNH DƯỢC VIÊN,['Hồ Chí Minh'],CÔNG TY TNHH DƯỢC PHẨM SWISS VITA,"68 Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh",HR,,Trách nhiệm hữu hạn,24/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,"8 Tr - 50,0 Tr VND",1 - 3 Năm,Nhân viên,23/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,25/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,24/12/2024
[G6] _ [BSV] _NHÂN VIÊN THỜI VỤ VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,25/11/2024,"Bưu chính viễn thông , Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,24/12/2024
[G6] _ [BSV] _NHÂN VIÊN VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,25/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,24/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,25/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,24/12/2024
NHÂN VIÊN TƯƠI SỐNG - QUẬN 9,['Hồ Chí Minh'],CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NHẬT MINH BAKERY,"131 Vũ Tùng, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn,25/11/2024,"Thực phẩm & Đồ uống , Mới tốt nghiệp / Thực tập , Bán hàng / Kinh doanh",Nhân viên chính thức,"6 Tr - 9,5 Tr VND",,Sinh viên/ Thực tập sinh,24/12/2024
TRÌNH DƯỢC VIÊN,['Hồ Chí Minh'],CÔNG TY TNHH DƯỢC PHẨM SWISS VITA,"68 Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh",HR,,Trách nhiệm hữu hạn,25/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,"8 Tr - 50,0 Tr VND",1 - 3 Năm,Nhân viên,24/12/2024
NHÂN VIÊN KINH DOANH THỊ TRƯỜNG,['Hồ Chí Minh'],CÔNG TY TNHH DƯỢC PHẨM SWISS VITA,"68 Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh",HR,,Trách nhiệm hữu hạn,26/11/2024,"Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,8 Tr - 25 Tr VND,1 - 3 Năm,Nhân viên,25/12/2024
Quản lý khu vui chơi Parc mall Champion 1250,['Hồ Chí Minh'],CÔNG TY TNHH KHÔNG GIAN VUI CHƠI,"Phòng 710, Lầu 7, Tòa nhà Saigon Paragon, số 03, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ms. Nguyễn My,100-499,100% vốn nước ngoài,18/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Lao động phổ thông",Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 3 Năm,Nhân viên,17/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,18/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,17/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,18/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,17/12/2024
Leasing Manager làm việc tại Quận 7 HCM,['Hồ Chí Minh'],CÔNG TY TNHH KHÔNG GIAN VUI CHƠI,"Phòng 710, Lầu 7, Tòa nhà Saigon Paragon, số 03, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ms. Nguyễn My,100-499,100% vốn nước ngoài,18/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Quản lý điều hành",Nhân viên chính thức,20 Tr - 25 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,17/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,19/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,18/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,21/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,20/12/2024
Nhân viên kinh doanh hàng gia dụng,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VÀ XÂY DỰNG BÌNH NGÂN,"Số 12 ngõ 99 Nguyễn Khang, Yên Hoà, Cầu Giấy, Hà Nội",Công ty CP XNK và XD Bình Ngân,100-499,Cổ phần,21/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,20/12/2024
[G3]_[TÂN BÌNH]_TRUNG TÂM CSKH VIETTEL HCM_NHÂN VIÊN CSKH 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,21/11/2024,"Bưu chính viễn thông , Dịch vụ khách hàng , Mới tốt nghiệp / Thực tập",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,20/12/2024
Nhân Viên Kỹ Thuật sử dụng tốt tiếng hoa,['Hồ Chí Minh'],CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU THẾ GIỚI BABY,"26 Đường số 49, Khu phố 8, Phường Tân Tạo, Quận Bình Tân, Tp. HCM.",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XNK THẾ GIỚI BABY,10-20,Trách nhiệm hữu hạn,21/11/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,8 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,20/12/2024
Công Nhân May,['Hồ Chí Minh'],CÔNG TY TNHH INCENSO,"603 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",HR,,Trách nhiệm hữu hạn,21/11/2024,"Dệt may / Da giày / Thời trang , Lao động phổ thông",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,20/12/2024
[G6] _ [BSV] _NHÂN VIÊN VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,23/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,22/12/2024
[G6] _ [BSV] _NHÂN VIÊN THỜI VỤ VIETTEL DỰ ÁN HAPPYCALL,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,23/11/2024,"Bưu chính viễn thông , Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,22/12/2024
[G6] _ [BSV] _CSKH Viettel Line 198,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,23/11/2024,"Bán hàng / Kinh doanh , Du lịch , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,22/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,15/11/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,15/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,15/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
[G6] _ [BSV] _ Nhân Viên Tư Vấn Gói Cước Viettel _ Data Có Sẵn,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,15/11/2024,"Bất động sản , Bán hàng / Kinh doanh , Chứng khoán",Nhân viên chính thức,8 Tr - 15 Tr VND,3 - 6 Năm,Nhân viên,14/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,16/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,15/12/2024
Nhân viên Môi giới,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CHỨNG KHOÁN DẦU KHÍ (PSI),"Số 18 Lý Thường Kiệt, Quận Hoàn Kiếm, Hà Nội",Phòng nhân sự,100-499,Cổ phần,16/11/2024,"Bảo hiểm , Chứng khoán , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,15/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,17/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,16/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,17/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,16/12/2024
Nhân Viên Chăm Sóc Ô Tô,['Hồ Chí Minh'],CÔNG TY TNHH CHỢ TỐT,"6 Tân Trào, Phường Tân Phú, Quận 7, TP. HCM",HR Dept,,100% vốn nước ngoài,21/11/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,20/12/2024
[G7]_[BSV]_Nhân Viên CSKH Viettel Line 198 (Không yêu cầu kinh nghiệm) _ Tân Bình,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,18/11/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 9 Tr VND,,Nhân viên,17/12/2024
